,time,turbidity,pH
564,2020-12-17 14:00:00.00+00:00,13,7.5
565,2020-12-17 16:00:00.00+00:00,14,7.5
566,2020-12-17 18:00:00.00+00:00,13,7.5
567,2020-12-17 20:00:00.00+00:00,14,7.5
568,2020-12-17 22:00:00.00+00:00,19,7.5
569,2020-12-18 00:00:00.00+00:00,22,7.5
570,2020-12-18 02:00:00.00+00:00,16,7.5
571,2020-12-18 04:00:00.00+00:00,16,7.5
572,2020-12-18 06:00:00.00+00:00,15,7.5
573,2020-12-18 08:00:00.00+00:00,14,7.5
574,2020-12-18 10:00:00.00+00:00,13,7.5
575,2020-12-18 12:00:00.00+00:00,12,7.5
576,2020-12-18 14:00:00.00+00:00,12,7.5
577,2020-12-18 16:00:00.00+00:00,13,7.5
578,2020-12-18 18:00:00.00+00:00,14,7.5
579,2020-12-18 20:00:00.00+00:00,13,7.5
580,2020-12-18 22:00:00.00+00:00,14,7.5
581,2020-12-19 00:00:00.00+00:00,31,7.5
582,2020-12-19 02:00:00.00+00:00,27,7.5
583,2020-12-19 04:00:00.00+00:00,24,7.5
584,2020-12-19 06:00:00.00+00:00,17,7.5
585,2020-12-19 08:00:00.00+00:00,12,7.5
586,2020-12-19 10:00:00.00+00:00,14,7.5
587,2020-12-19 12:00:00.00+00:00,16,7.5
588,2020-12-19 14:00:00.00+00:00,15,7.5
589,2020-12-19 16:00:00.00+00:00,14,7.5
590,2020-12-19 18:00:00.00+00:00,15,7.5
591,2020-12-19 20:00:00.00+00:00,14,7.5
592,2020-12-19 22:00:00.00+00:00,12,7.5
593,2020-12-20 00:00:00.00+00:00,28,7.5
594,2020-12-20 02:00:00.00+00:00,24,7.5
595,2020-12-20 04:00:00.00+00:00,18,7.5
596,2020-12-20 06:00:00.00+00:00,15,7.5
597,2020-12-20 08:00:00.00+00:00,10,7.6
598,2020-12-20 10:00:00.00+00:00,11,7.5
599,2020-12-20 12:00:00.00+00:00,11,7.5
600,2020-12-20 14:00:00.00+00:00,10,7.5
601,2020-12-20 16:00:00.00+00:00,10,7.5
602,2020-12-20 18:00:00.00+00:00,14,7.5
603,2020-12-20 20:00:00.00+00:00,13,7.5
604,2020-12-20 22:00:00.00+00:00,13,7.5
605,2020-12-21 00:00:00.00+00:00,12,7.5
606,2020-12-21 02:00:00.00+00:00,11,7.5
607,2020-12-21 04:00:00.00+00:00,12,7.6
608,2020-12-21 06:00:00.00+00:00,10,7.5
609,2020-12-21 08:00:00.00+00:00,18,7.5
610,2020-12-21 10:00:00.00+00:00,15,7.5
611,2020-12-21 12:00:00.00+00:00,16,7.5
612,2020-12-21 14:00:00.00+00:00,13,7.5
613,2020-12-21 16:00:00.00+00:00,15,7.5
614,2020-12-21 18:00:00.00+00:00,17,7.5
615,2020-12-21 20:00:00.00+00:00,16,7.5
616,2020-12-21 22:00:00.00+00:00,17,7.5
617,2020-12-22 00:00:00.00+00:00,18,7.5
618,2020-12-22 02:00:00.00+00:00,18,7.5
619,2020-12-22 04:00:00.00+00:00,20,7.5
620,2020-12-22 06:00:00.00+00:00,19,7.5
621,2020-12-22 08:00:00.00+00:00,19,7.5
622,2020-12-22 10:00:00.00+00:00,17,7.5
623,2020-12-22 12:00:00.00+00:00,15,7.5
624,2020-12-22 14:00:00.00+00:00,16,7.5
625,2020-12-22 16:00:00.00+00:00,14,7.5
626,2020-12-22 18:00:00.00+00:00,15,7.5
627,2020-12-23 20:00:00.00+00:00,16,7.5
628,2020-12-23 22:00:00.00+00:00,16,7.5
629,2020-12-23 00:00:00.00+00:00,17,7.5
630,2020-12-23 02:00:00.00+00:00,17,7.5
631,2020-12-23 04:00:00.00+00:00,18,7.5
632,2020-12-23 06:00:00.00+00:00,18,7.5
633,2020-12-23 08:00:00.00+00:00,19,7.5
634,2020-12-23 10:00:00.00+00:00,17,7.5
635,2020-12-23 12:00:00.00+00:00,16,7.5
636,2020-12-23 14:00:00.00+00:00,18,7.5
637,2020-12-23 16:00:00.00+00:00,15,7.5
638,2020-12-23 18:00:00.00+00:00,16,7.5
639,2020-12-23 20:00:00.00+00:00,17,7.5
640,2020-12-23 22:00:00.00+00:00,18,7.5
641,2020-12-24 00:00:00.00+00:00,18,7.5
642,2020-12-24 02:00:00.00+00:00,18,7.5
643,2020-12-24 04:00:00.00+00:00,19,7.5
644,2020-12-24 06:00:00.00+00:00,19,7.5
645,2020-12-24 08:00:00.00+00:00,16,7.5
646,2020-12-24 10:00:00.00+00:00,14,7.5
647,2020-12-24 12:00:00.00+00:00,15,7.5
648,2020-12-24 14:00:00.00+00:00,13,7.5
649,2020-12-24 16:00:00.00+00:00,14,7.5
650,2020-12-24 18:00:00.00+00:00,16,7.5
651,2020-12-24 20:00:00.00+00:00,17,7.5
652,2020-12-24 22:00:00.00+00:00,17,7.5
653,2020-12-25 00:00:00.00+00:00,18,7.5
654,2020-12-25 02:00:00.00+00:00,18,7.5
655,2020-12-25 04:00:00.00+00:00,19,7.5
656,2020-12-25 06:00:00.00+00:00,18,7.5
657,2020-12-25 08:00:00.00+00:00,18,7.5
658,2020-12-25 10:00:00.00+00:00,15,7.5
659,2020-12-25 12:00:00.00+00:00,16,7.5
660,2020-12-25 14:00:00.00+00:00,12,7.5
661,2020-12-25 16:00:00.00+00:00,11,7.5
662,2020-12-25 18:00:00.00+00:00,15,7.5
663,2020-12-25 20:00:00.00+00:00,16,7.5
664,2020-12-25 22:00:00.00+00:00,18,7.5
665,2020-12-26 00:00:00.00+00:00,17,7.5
666,2020-12-26 02:00:00.00+00:00,17,7.5
667,2020-12-26 04:00:00.00+00:00,18,7.5
668,2020-12-26 06:00:00.00+00:00,18,7.5
669,2020-12-26 08:00:00.00+00:00,12,7.5
670,2020-12-26 10:00:00.00+00:00,10,7.4
671,2020-12-26 12:00:00.00+00:00,13,7.5
672,2020-12-26 14:00:00.00+00:00,15,7.5
673,2020-12-26 16:00:00.00+00:00,13,7.5
674,2020-12-26 18:00:00.00+00:00,15,7.5
675,2020-12-26 20:00:00.00+00:00,17,7.5
676,2020-12-26 22:00:00.00+00:00,17,7.5
677,2020-12-27 00:00:00.00+00:00,17,7.4
678,2020-12-27 02:00:00.00+00:00,16,7.4
679,2020-12-27 04:00:00.00+00:00,16,7.5
680,2020-12-27 06:00:00.00+00:00,15,7.5
681,2020-12-27 08:00:00.00+00:00,18,7.5
682,2020-12-27 10:00:00.00+00:00,15,7.5
683,2020-12-27 12:00:00.00+00:00,17,7.5
684,2020-12-27 14:00:00.00+00:00,14,7.5
685,2020-12-27 16:00:00.00+00:00,12,7.5
686,2020-12-27 18:00:00.00+00:00,16,7.5
687,2020-12-27 20:00:00.00+00:00,16,7.5
688,2020-12-27 22:00:00.00+00:00,16,7.5
689,2020-12-28 00:00:00.00+00:00,17,7.5
690,2020-12-28 02:00:00.00+00:00,17,7.5
691,2020-12-28 04:00:00.00+00:00,18,7.5
692,2020-12-28 06:00:00.00+00:00,18,7.5
693,2020-12-28 08:00:00.00+00:00,16,7.5
694,2020-12-28 10:00:00.00+00:00,16,7.5
695,2020-12-28 12:00:00.00+00:00,18,7.5
696,2020-12-28 14:00:00.00+00:00,18,7.5
697,2020-12-28 16:00:00.00+00:00,18,7.5
698,2020-12-28 18:00:00.00+00:00,12,7.6
699,2020-12-28 20:00:00.00+00:00,11,7.6
700,2020-12-28 22:00:00.00+00:00,12,7.5
701,2020-12-29 00:00:00.00+00:00,12,7.5
702,2020-12-29 02:00:00.00+00:00,12,7.5
703,2020-12-29 04:00:00.00+00:00,12,7.5
704,2020-12-29 06:00:00.00+00:00,11,7.5
705,2020-12-29 08:00:00.00+00:00,14,7.5
706,2020-12-29 10:00:00.00+00:00,15,7.5
707,2020-12-29 12:00:00.00+00:00,13,7.5
708,2020-12-29 14:00:00.00+00:00,12,7.5
709,2020-12-29 16:00:00.00+00:00,11,7.5
710,2020-12-29 18:00:00.00+00:00,10,7.6
711,2020-12-29 20:00:00.00+00:00,11,7.5
712,2020-12-29 22:00:00.00+00:00,13,7.5
713,2020-12-30 00:00:00.00+00:00,10,7.6
714,2020-12-30 02:00:00.00+00:00,12,7.5
715,2020-12-30 04:00:00.00+00:00,10,7.6
716,2020-12-30 06:00:00.00+00:00,11,7.5
717,2020-12-30 08:00:00.00+00:00,18,7.5
718,2020-12-30 10:00:00.00+00:00,12,7.5
719,2020-12-30 12:00:00.00+00:00,15,7.5
720,2020-12-30 14:00:00.00+00:00,16,7.6
721,2020-12-30 16:00:00.00+00:00,19,7.6
722,2020-12-30 18:00:00.00+00:00,10,7.6
723,2020-12-30 20:00:00.00+00:00,12,7.5
724,2020-12-30 22:00:00.00+00:00,10,7.5
725,2020-12-31 00:00:00.00+00:00,10,7.5
726,2020-12-31 02:00:00.00+00:00,310,7.6
727,2020-12-31 04:00:00.00+00:00,311,7.5
728,2020-12-31 06:00:00.00+00:00,218,7.5
729,2020-12-31 08:00:00.00+00:00,205,7.5
730,2020-12-31 10:00:00.00+00:00,180,7.5
731,2020-12-31 12:00:00.00+00:00,160,7.5
732,2020-12-31 14:00:00.00+00:00,142,7.5
733,2020-12-31 16:00:00.00+00:00,100,7.5
734,2020-12-31 18:00:00.00+00:00,136,7.5
735,2020-12-31 20:00:00.00+00:00,134,7.5
736,2020-12-31 22:00:00.00+00:00,136,7.5
737,2021-01-01 00:00:00.00+00:00,115,7.5
738,2021-01-01 02:00:00.00+00:00,110,7.5
739,2021-01-01 04:00:00.00+00:00,118,7.5
740,2021-01-01 06:00:00.00+00:00,120,7.5
741,2021-01-01 08:00:00.00+00:00,114,7.5
742,2021-01-01 10:00:00.00+00:00,100,7.5
743,2021-01-01 12:00:00.00+00:00,68,7.6
744,2021-01-01 14:00:00.00+00:00,71,7.5
745,2021-01-01 16:00:00.00+00:00,59,7.5
746,2021-01-01 18:00:00.00+00:00,68,7.5
747,2021-01-01 20:00:00.00+00:00,65,7.5
748,2021-01-01 22:00:00.00+00:00,63,7.5
749,2021-01-02 00:00:00.00+00:00,50,7.4
750,2021-01-02 02:00:00.00+00:00,48,7.4
751,2021-01-02 04:00:00.00+00:00,40,7.4
752,2021-01-02 06:00:00.00+00:00,34,7.4
753,2021-01-02 08:00:00.00+00:00,32,7.5
754,2021-01-02 10:00:00.00+00:00,28,7.5
755,2021-01-02 12:00:00.00+00:00,27,7.5
756,2021-01-02 14:00:00.00+00:00,27,7.5
757,2021-01-02 16:00:00.00+00:00,25,7.5
758,2021-01-02 18:00:00.00+00:00,16,7.5
759,2021-01-02 20:00:00.00+00:00,17,7.5
760,2021-01-02 22:00:00.00+00:00,18,7.5
761,2021-01-03 00:00:00.00+00:00,18,7.5
762,2021-01-03 02:00:00.00+00:00,17,7.5
763,2021-01-03 04:00:00.00+00:00,16,7.5
764,2021-01-03 06:00:00.00+00:00,16,7.5
765,2021-01-03 08:00:00.00+00:00,18,7.5
766,2021-01-03 10:00:00.00+00:00,18,7.5
767,2021-01-03 12:00:00.00+00:00,18,7.5
768,2021-01-03 14:00:00.00+00:00,18,7.5
769,2021-01-03 16:00:00.00+00:00,18,7.5
770,2021-01-03 18:00:00.00+00:00,15,7.5
771,2021-01-03 20:00:00.00+00:00,12,7.5
772,2021-01-03 22:00:00.00+00:00,12,7.5
773,2021-01-04 00:00:00.00+00:00,11,7.6
774,2021-01-04 02:00:00.00+00:00,11,7.5
775,2021-01-04 04:00:00.00+00:00,10,7.5
776,2021-01-04 06:00:00.00+00:00,10,7.5
777,2021-01-04 08:00:00.00+00:00,16,7.5
778,2021-01-04 10:00:00.00+00:00,14,7.5
