,time,data_rate,rssi,sensor,snr
131,2019-10-25 09:46:50.257242880+00:00,SF12BW125,-102,node2,4.8
132,2019-10-25 09:47:31.193082112+00:00,SF12BW125,-89,node1,9.2
133,2019-10-25 09:47:56.374905088+00:00,SF12BW125,-102,node2,4.5
134,2019-10-25 09:48:17.633779968+00:00,SF12BW125,-109,node3,0.0
135,2019-10-25 09:48:37.314317824+00:00,SF12BW125,-89,node1,8.5
136,2019-10-25 09:50:08.606471936+00:00,SF12BW125,-102,node2,4.5
137,2019-10-25 09:50:29.876986880+00:00,SF12BW125,-108,node3,1.8
138,2019-10-25 09:50:49.551630848+00:00,SF12BW125,-87,node1,7.2
139,2019-10-25 09:51:35.990909952+00:00,SF12BW125,-111,node3,-4.0
140,2019-10-25 09:51:55.660062976+00:00,SF12BW125,-89,node1,7.8
141,2019-10-25 09:52:20.845644032+00:00,SF12BW125,-102,node2,4.0
142,2019-10-25 09:53:01.778755840+00:00,SF12BW125,-87,node1,6.5
143,2019-10-25 09:53:48.221404160+00:00,SF12BW125,-109,node3,-1.5
144,2019-10-25 09:54:07.894945024+00:00,SF12BW125,-89,node1,8.8
145,2019-10-25 09:54:54.339042816+00:00,SF12BW125,-109,node3,0.0
146,2019-10-25 09:55:14.017703168+00:00,SF12BW125,-89,node1,10.0
147,2019-10-25 09:55:39.195930880+00:00,SF12BW125,-102,node2,4.2
148,2019-10-25 09:56:20.127757056+00:00,SF12BW125,-90,node1,8.2
149,2019-10-25 09:56:45.316147200+00:00,SF12BW125,-101,node2,5.2
150,2019-10-25 09:57:06.572849920+00:00,SF12BW125,-108,node3,0.5
151,2019-10-25 09:57:26.245202176+00:00,SF12BW125,-89,node1,8.8
152,2019-10-25 09:57:51.423835136+00:00,SF12BW125,-102,node2,5.8
153,2019-10-25 09:58:12.689979904+00:00,SF12BW125,-106,node3,2.5
154,2019-10-25 09:58:32.367459072+00:00,SF12BW125,-88,node1,10.0
155,2019-10-25 09:58:57.542729984+00:00,SF12BW125,-102,node2,4.2
156,2019-10-25 09:59:18.812794880+00:00,SF12BW125,-109,node3,-0.5
157,2019-10-25 09:59:38.478696960+00:00,SF12BW125,-86,node1,8.0
158,2019-10-25 10:00:03.660516864+00:00,SF12BW125,-102,node2,6.0
159,2019-10-25 10:00:24.930371072+00:00,SF12BW125,-109,node3,-0.2
160,2019-10-25 10:01:09.780452864+00:00,SF12BW125,-100,node2,4.5
161,2019-10-25 10:01:31.039683072+00:00,SF12BW125,-109,node3,1.0
162,2019-10-25 10:01:50.712960+00:00,SF12BW125,-86,node1,8.5
163,2019-10-25 10:02:37.159465984+00:00,SF12BW125,-111,node3,-0.8
164,2019-10-25 10:02:56.836375040+00:00,SF12BW125,-90,node1,8.0
165,2019-10-25 10:03:22.008304128+00:00,SF12BW125,-103,node2,5.0
166,2019-10-25 10:04:02.947112192+00:00,SF12BW125,-90,node1,10.5
167,2019-10-25 10:04:28.127054848+00:00,SF12BW125,-103,node2,4.5
168,2019-10-25 10:04:49.396928+00:00,SF12BW125,-108,node3,-0.8
169,2019-10-25 10:05:09.066971136+00:00,SF12BW125,-88,node1,10.0
170,2019-10-25 10:05:34.240935936+00:00,SF12BW125,-103,node2,5.5
